,2020-05-26
111,咕米儿：用人单位又不要专科生，本科生谁愿意学护理呀！
112,XLDNLM：身份地位低、工资待遇低、但是门槛却不低，评各种职称看很多书，每天累的要死挣得贼少，关键时刻医院会不得罪病人而选择牺牲“你”，上一个大夜班才给十几块钱而且整个科室只有一个人值班，上过夜班的人都知道这对健康是非常不利的，我反正不会让下一代从事这个行业了……
113,贫民窟里的懒肥宅牛：别，你先看看护理就业压力有多大吧！解决的实际性问题，你把待遇提高就业提高，不用你提议，自然学的就多了
114,超级超级想见的人呢：如果能有范冰冰、吴亦凡那种收入，我就选择护理！然而一个月才1800，我呵呵
115,海天酱油每日鲜：工资低，活儿累，要求多，夜班多，要求身高，没有尊严，被看不起，承担责任，比老黄牛还苦吧
116,原来是毛不易哇：我只想知道她家孩子有几个当护士的
117,魚駭：别了吧，工资低，待遇差，活又累，要求还多，说这个的时候，能不能先把我补助先给了呢？莫名想笑，什么都没有的前提下竟然要求人无私奉献。
118,是百分号呀：为什么老是在一些奇怪的方面提意见，就不能干点实事？
119,田田和尚：想干实事的去不了那。
120,天涯客1807_560：你问的问题很到位，达不到这种境界，到不了那个位子。。。
121,共3条回复
122,一MMMMMXXXXX一：何必限制市场行为呢……有这种想法本身就有问题
123,风雨中的修行者：代表们提的问题太有趣了，和小孩一样。
124,秀丽之山河：我百度了一下，他是新闻出版研究院院长。大家对图书出版流程不了解，现在的出版社定价都是先算算按照网络半价后还挣不挣钱，也就是高定价低折扣，所以我们看现在图书定价越来越高了。他的提议是从文化出版大局考虑的。最终也会惠及普通读者
125,共4条回复
126,关枣关枣：这帮孙子怎么连点经济学常识都不懂 满脑子都是权力可以实现一切
127,巴赫尔：总结到位！
128,宜室宜厅北京除甲醛：强扭的瓜不甜吧……
129,河豚小小碗：这个有点可笑……
130,山东小砂锅1978：市场是干啥的？
131,幽默是良药：日本就是这么干的。
132,Evans懒婆娘：现在是市场经济啊！这也要干预？那定价时首先该考虑合理定价！
133,是西瓜壳哇：提案一个比一个奇葩 能不能动动脑子 实事求是 走进群众
134,晨之喜乐多：请尊重市场规律，这管一管那也管一管，那么多事呢
135,躺在被窝里的梅西10：你咋不建议股票直准涨不准跌呢？
136,那一天终会到来的：你怎么不说建议限制使用电子书以保证图书店生存，真特么没有脑子
137,不负责任的老伙计：市场的事就交给市场吧…
138,机械师Caesar：年年都是些啥人去开会的……带脑子了吗？
139,郝哈哈哈郝：人大代表，政协委员，全国上下民众的期盼最重要的体现，为什么看不到一个关乎民生的提案，人民的医疗，教育，住房，就业，哪一个不值得拿出来讨论。
140,天涯客1807_560：歌曲很亢奋，舞蹈很漂亮 ，台词也都很高调，但说到了自己那一亩三分地，谁还管民生，都踏马的想着自己多搞点，格力董和墙头草黄都主张取消公积金。
141,巴赫尔：出台立法，蔬菜水果米面油不许涨价，不然判刑。不好吗？
142,不是就不适：沙雕提案
143,67E39_kaa：？ 扯皮
144,1980s奶爸：那些垃圾代表，你们就直接抢钱不就得了？！
