词语,tfidf值
判断,0.00030182056077188065
还好,0.00030182056077188065
抗洪哈哈哈,0.00030182056077188065
滚滚,0.00030182056077188065
！太帅,0.00030182056077188065
三哥,0.00030182056077188065
对手,0.00030182056077188065
儿子,0.00030182056077188065
安全,0.00030153184146417965
核心,0.0003013078424003162
手机,0.000298491881256388
会战,0.0002984669989855264
面部,0.0002984669989855264
就行了,0.0002951134371991722
反黑,0.0002951134371991722
基因,0.0002951134371991722
了戴,0.0002951134371991722
努力,0.00029320822436749256
失业,0.0002928599589685316
一年,0.0002928599589685316
春节,0.00029175987541281797
汉语,0.00029175987541281797
玩具遥控,0.00029175987541281797
了齐鲁,0.00029175987541281797
留学,0.00029175987541281797
邻居,0.00029175987541281797
不够,0.00029175987541281797
安息逝者,0.00029175987541281797
哈利,0.00029175987541281797
来说,0.00029070217116777044
科学,0.00029070217116777044
冷面,0.0002884063136264637
口才,0.0002884063136264637
舌战群儒,0.0002884063136264637
！我们,0.0002872280366806753
移动,0.00028505275184010953
！天,0.00028505275184010953
卡哈哈哈,0.00028505275184010953
火车,0.00028505275184010953
了印度,0.00028505275184010953
耶稣,0.00028505275184010953
蝙蝠,0.00028441207553674705
啊？,0.00028441207553674705
香甜,0.0002816991900537553
啊所以,0.0002816991900537553
可爱我,0.0002816991900537553
自然,0.0002816991900537553
中日,0.0002816991900537553
言论自由,0.0002816991900537553
所谓,0.0002816991900537553
大嫂,0.0002816991900537553
看成,0.0002815961143928189
19,0.00028067795836888177
人生,0.0002792917259742684
武器,0.00027878015324889075
水平,0.00027878015324889075
医生,0.00027878015324889075
宇宙,0.00027878015324889075
恐怖片,0.00027834562826740104
不屑,0.00027834562826740104
超过,0.00027834562826740104
80,0.00027834562826740104
勋章,0.00027834562826740104
激起,0.00027834562826740104
和谐,0.00027834562826740104
必须,0.00027834562826740104
了哈利,0.00027834562826740104
？都,0.0002759641921049625
东鹏,0.00027499206648104685
特饮,0.00027499206648104685
改造,0.00027499206648104685
！国家队,0.00027499206648104685
除了,0.00027499206648104685
不说,0.00027499206648104685
对立,0.00027499206648104685
牵扯,0.00027499206648104685
二字,0.00027499206648104685
BBC,0.00027314823096103434
味道,0.0002716385046946926
！太,0.0002716385046946926
哈哈哈内蒙,0.0002716385046946926
阴阳怪气,0.0002716385046946926
青岛,0.0002716385046946926
不可,0.0002716385046946926
原因,0.00027065374556999315
死亡率,0.0002703322698171062
玩意,0.0002703322698171062
压力,0.0002703322698171062
劫匪,0.00026828494290833836
